Recording_ID,Genus,Specific_epithet,English_name,Vocalization_type
372179,Sylvia,communis,Common Whitethroat,"male, song"
201152,Sylvia,communis,Common Whitethroat,"male, song"
401813,Sylvia,communis,Common Whitethroat,"male, song"
188737,Sylvia,communis,Common Whitethroat,"male, song"
196318,Sylvia,communis,Common Whitethroat,"male, song"
192695,Sylvia,communis,Common Whitethroat,"male, song"
124491,Sylvia,communis,Common Whitethroat,"male, song"
371676,Sylvia,communis,Common Whitethroat,"male, song"
367794,Sylvia,communis,Common Whitethroat,"male, song"
196326,Sylvia,communis,Common Whitethroat,"male, song"
263656,Sylvia,communis,Common Whitethroat,"male, song"
194672,Sylvia,communis,Common Whitethroat,"male, song"
199781,Sylvia,communis,Common Whitethroat,"male, song"
327897,Emberiza,citrinella,Yellowhammer,"male, song"
317832,Emberiza,citrinella,Yellowhammer,"male, song"
205209,Emberiza,citrinella,Yellowhammer,"male, song"
530475,Emberiza,citrinella,Yellowhammer,"male, song"
174767,Emberiza,citrinella,Yellowhammer,"male, song"
123750,Emberiza,citrinella,Yellowhammer,"male, song, subsong"
329373,Emberiza,citrinella,Yellowhammer,"male, song"
233614,Emberiza,citrinella,Yellowhammer,"male, song"
507164,Emberiza,citrinella,Yellowhammer,"adult, call, male, song"
176745,Emberiza,citrinella,Yellowhammer,"call, male, song"
237322,Emberiza,citrinella,Yellowhammer,"male, song"
210438,Emberiza,citrinella,Yellowhammer,"male, song"
187908,Emberiza,citrinella,Yellowhammer,"male, song"
205725,Emberiza,citrinella,Yellowhammer,"male, song"
356332,Emberiza,citrinella,Yellowhammer,"male, song"
531169,Emberiza,citrinella,Yellowhammer,"adult, male, song"
177985,Emberiza,citrinella,Yellowhammer,"male, song"
131944,Emberiza,citrinella,Yellowhammer,"male, song"
176746,Emberiza,citrinella,Yellowhammer,"call, male, song"
176810,Emberiza,citrinella,Yellowhammer,"call, male, song"
213099,Emberiza,citrinella,Yellowhammer,"male, song"
327240,Emberiza,citrinella,Yellowhammer,"male, song"
415758,Emberiza,citrinella,Yellowhammer,"male, song"
361600,Emberiza,citrinella,Yellowhammer,"male, song"
196323,Emberiza,citrinella,Yellowhammer,"male, song"
305838,Emberiza,citrinella,Yellowhammer,"male, song"
410567,Emberiza,citrinella,Yellowhammer,"male, song"
314429,Emberiza,citrinella,Yellowhammer,"male, song"
329378,Emberiza,citrinella,Yellowhammer,"male, song"
233611,Emberiza,citrinella,Yellowhammer,"male, song"
200459,Emberiza,citrinella,Yellowhammer,"male, song"
194019,Emberiza,citrinella,Yellowhammer,"male, song"
411274,Emberiza,citrinella,Yellowhammer,"male, song"
329376,Emberiza,citrinella,Yellowhammer,"male, song"
329374,Emberiza,citrinella,Yellowhammer,"male, song"
200460,Emberiza,citrinella,Yellowhammer,"male, song"
327410,Emberiza,citrinella,Yellowhammer,"male, song"
255690,Emberiza,citrinella,Yellowhammer,"male, song"
205200,Emberiza,citrinella,Yellowhammer,"male, song"
167478,Emberiza,citrinella,Yellowhammer,"call, male, song"
215897,Emberiza,citrinella,Yellowhammer,"male, song"
205623,Emberiza,citrinella,Yellowhammer,"male, song"
210436,Emberiza,citrinella,Yellowhammer,"male, song"
134531,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
482448,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
276753,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
522082,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
367059,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
299900,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
142073,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
361382,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
507637,Sylvia,atricapilla,Eurasian Blackcap,"adult, male, subsong"
163338,Sylvia,atricapilla,Eurasian Blackcap,"female, song"
414225,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
325792,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
386086,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
310615,Sylvia,atricapilla,Eurasian Blackcap,"male, subsong"
464107,Sylvia,atricapilla,Eurasian Blackcap,"male, song, two males"
513195,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
316548,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
174993,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
410043,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
457279,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
182651,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
174994,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
192416,Sylvia,atricapilla,Eurasian Blackcap,"Variation, male, song"
436200,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
479468,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
464557,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
145299,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
413875,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
243739,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
195858,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
182188,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
142373,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
142272,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
248043,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
457280,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
415257,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
269537,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
142518,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
333022,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
291857,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
318322,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
29045,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
252139,Sylvia,atricapilla,Eurasian Blackcap,"male, song"
206358,Emberiza,calandra,Corn Bunting,"male, song"
200423,Emberiza,calandra,Corn Bunting,"male, song"
194897,Emberiza,calandra,Corn Bunting,"male, song"
467184,Emberiza,calandra,Corn Bunting,"male, song"
125775,Emberiza,calandra,Corn Bunting,"call, male, song"
361586,Emberiza,calandra,Corn Bunting,"male, song"
206622,Emberiza,calandra,Corn Bunting,"male, song"
195966,Emberiza,calandra,Corn Bunting,"male, song"
467171,Emberiza,calandra,Corn Bunting,"male, song"
170218,Emberiza,calandra,Corn Bunting,"male, song"
195956,Emberiza,calandra,Corn Bunting,"male, song"
144946,Emberiza,calandra,Corn Bunting,"male, song"
195854,Emberiza,calandra,Corn Bunting,"male, song"
212303,Emberiza,calandra,Corn Bunting,"male, song"
471935,Emberiza,calandra,Corn Bunting,"male, song"
411953,Emberiza,calandra,Corn Bunting,"male, song"
181286,Emberiza,calandra,Corn Bunting,"male, song"
148498,Emberiza,calandra,Corn Bunting,"male, song"
188738,Emberiza,calandra,Corn Bunting,"male, song"
260115,Emberiza,calandra,Corn Bunting,"male, song"
206782,Emberiza,calandra,Corn Bunting,"male, song"
189868,Emberiza,calandra,Corn Bunting,"male, song"
198648,Emberiza,calandra,Corn Bunting,"male, song"
265594,Emberiza,calandra,Corn Bunting,"male, song"
199172,Emberiza,calandra,Corn Bunting,"male, song"
206766,Emberiza,calandra,Corn Bunting,"male, song"
168329,Emberiza,calandra,Corn Bunting,"male, song"
194347,Emberiza,calandra,Corn Bunting,"male, song"
192872,Emberiza,calandra,Corn Bunting,"male, song"
247328,Emberiza,calandra,Corn Bunting,"male, song"
206646,Emberiza,calandra,Corn Bunting,"male, song"
206628,Emberiza,calandra,Corn Bunting,"male, song"
194833,Emberiza,calandra,Corn Bunting,"male, song"
188741,Emberiza,calandra,Corn Bunting,"male, song"
179893,Emberiza,calandra,Corn Bunting,"male, song"
194896,Emberiza,calandra,Corn Bunting,"male, song"
168382,Emberiza,calandra,Corn Bunting,"male, song"
195962,Emberiza,calandra,Corn Bunting,"male, song"
194903,Emberiza,calandra,Corn Bunting,"call, male, song"
195863,Emberiza,calandra,Corn Bunting,"male, song"
201276,Emberiza,calandra,Corn Bunting,"male, song"
279036,Emberiza,calandra,Corn Bunting,"carduelis carduelis, cyanistes caeruleus, male, sitta europaea, song"
207953,Emberiza,calandra,Corn Bunting,"male, song"
196366,Phylloscopus,trochilus,Willow Warbler,"male, song"
196176,Phylloscopus,trochilus,Willow Warbler,"male, song"
187843,Phylloscopus,trochilus,Willow Warbler,"male, song"
469558,Phylloscopus,trochilus,Willow Warbler,"male, song"
367062,Phylloscopus,trochilus,Willow Warbler,"male, song"
236504,Phylloscopus,trochilus,Willow Warbler,"male, song"
196793,Phylloscopus,trochilus,Willow Warbler,"male, song"
193019,Phylloscopus,trochilus,Willow Warbler,"male, song"
401935,Phylloscopus,trochilus,Willow Warbler,"male, song"
125761,Phylloscopus,trochilus,Willow Warbler,"male, song"
192863,Phylloscopus,trochilus,Willow Warbler,"male, song"
512906,Phylloscopus,trochilus,Willow Warbler,"adult, male, song"
189870,Phylloscopus,trochilus,Willow Warbler,"call, male, song"
172684,Phylloscopus,trochilus,Willow Warbler,"male, song"
503696,Phylloscopus,trochilus,Willow Warbler,"adult, male, song"
255501,Phylloscopus,trochilus,Willow Warbler,"call, female, male, song"
169013,Phylloscopus,trochilus,Willow Warbler,"male, song"
120940,Phylloscopus,trochilus,Willow Warbler,"male, song"
169025,Phylloscopus,trochilus,Willow Warbler,"male, song"
199512,Phylloscopus,trochilus,Willow Warbler,"male, song"
199075,Phylloscopus,trochilus,Willow Warbler,"male, song"
195239,Phylloscopus,trochilus,Willow Warbler,"call, male, song"
188565,Phylloscopus,trochilus,Willow Warbler,"male, song"
195250,Phylloscopus,trochilus,Willow Warbler,"call, male, song"
198657,Phylloscopus,trochilus,Willow Warbler,"male, song"
121605,Phylloscopus,trochilus,Willow Warbler,"male, song"
199375,Phylloscopus,trochilus,Willow Warbler,"male, song"
198248,Phylloscopus,trochilus,Willow Warbler,"male, song"
198243,Phylloscopus,trochilus,Willow Warbler,"male, song"
169032,Phylloscopus,trochilus,Willow Warbler,"male, song"
130275,Phylloscopus,trochilus,Willow Warbler,"male, song"
132899,Phylloscopus,trochilus,Willow Warbler,"male, song"
192878,Phylloscopus,trochilus,Willow Warbler,"male, song"
196181,Phylloscopus,trochilus,Willow Warbler,"male, song"
200318,Phylloscopus,trochilus,Willow Warbler,"male, song"
199278,Phylloscopus,trochilus,Willow Warbler,"male, song"
194010,Phylloscopus,trochilus,Willow Warbler,"male, song"
196178,Phylloscopus,trochilus,Willow Warbler,"male, song"
195864,Phylloscopus,trochilus,Willow Warbler,"male, song"
192879,Phylloscopus,trochilus,Willow Warbler,"male, song"
121601,Phylloscopus,trochilus,Willow Warbler,"male, song"
200880,Phylloscopus,trochilus,Willow Warbler,"male, song"
175496,Phylloscopus,trochilus,Willow Warbler,"male, song"
304590,Luscinia,megarhynchos,Common Nightingale,"male, song"
264207,Luscinia,megarhynchos,Common Nightingale,"male, song"
508077,Luscinia,megarhynchos,Common Nightingale,"male, song"
135176,Luscinia,megarhynchos,Common Nightingale,"male, song"
420350,Luscinia,megarhynchos,Common Nightingale,"male, song"
304597,Luscinia,megarhynchos,Common Nightingale,"male, song"
473664,Luscinia,megarhynchos,Common Nightingale,"male, song"
235818,Luscinia,megarhynchos,Common Nightingale,"male, song"
148612,Luscinia,megarhynchos,Common Nightingale,"male, song"
356341,Luscinia,megarhynchos,Common Nightingale,"male, song"
516413,Luscinia,megarhynchos,Common Nightingale,"adult, male, song"
179038,Luscinia,megarhynchos,Common Nightingale,"male, song"
420733,Luscinia,megarhynchos,Common Nightingale,"male, song"
195298,Luscinia,megarhynchos,Common Nightingale,"male, song"
148610,Luscinia,megarhynchos,Common Nightingale,"male, song"
177506,Luscinia,megarhynchos,Common Nightingale,"frogs, male, song"
304589,Luscinia,megarhynchos,Common Nightingale,"male, song"
377841,Luscinia,megarhynchos,Common Nightingale,"male, song"
323322,Luscinia,megarhynchos,Common Nightingale,"male, song"
240002,Luscinia,megarhynchos,Common Nightingale,"male, song"
373409,Luscinia,megarhynchos,Common Nightingale,"male, song"
415519,Luscinia,megarhynchos,Common Nightingale,"male, song"
263849,Luscinia,megarhynchos,Common Nightingale,"male, song"
420790,Luscinia,megarhynchos,Common Nightingale,"male, song"
138082,Luscinia,megarhynchos,Common Nightingale,"male, song"
323320,Luscinia,megarhynchos,Common Nightingale,"male, song"
178242,Luscinia,megarhynchos,Common Nightingale,"male, song"
304600,Luscinia,megarhynchos,Common Nightingale,"male, song"
123811,Luscinia,megarhynchos,Common Nightingale,"male, song"
264079,Luscinia,megarhynchos,Common Nightingale,"call, male, song"
371658,Luscinia,megarhynchos,Common Nightingale,"male, song"
323318,Luscinia,megarhynchos,Common Nightingale,"male, song"
317717,Luscinia,megarhynchos,Common Nightingale,"male, song"
265894,Luscinia,megarhynchos,Common Nightingale,"male, song"
317623,Luscinia,megarhynchos,Common Nightingale,"male, song"
323321,Luscinia,megarhynchos,Common Nightingale,"male, song"
304599,Luscinia,megarhynchos,Common Nightingale,"male, song"
138954,Luscinia,megarhynchos,Common Nightingale,"male, song"
239238,Luscinia,megarhynchos,Common Nightingale,"call, male, song"
304591,Luscinia,megarhynchos,Common Nightingale,"male, song"
356342,Luscinia,megarhynchos,Common Nightingale,"male, song"
178491,Luscinia,megarhynchos,Common Nightingale,"male, song"
178443,Luscinia,megarhynchos,Common Nightingale,"male, song"
415256,Strix,aluco,Tawny Owl,"male, song"
171690,Strix,aluco,Tawny Owl,"male, song"
310624,Strix,aluco,Tawny Owl,"call, female, male, song"
177963,Strix,aluco,Tawny Owl,"female, male, song"
174992,Strix,aluco,Tawny Owl,"male, song"
329497,Strix,aluco,Tawny Owl,"male, song"
165382,Strix,aluco,Tawny Owl,"male, song"
393979,Strix,aluco,Tawny Owl,"call, female, male, song"
243925,Strix,aluco,Tawny Owl,"call, male, slightly odd song"
310463,Strix,aluco,Tawny Owl,"call, female, male, song"
337525,Strix,aluco,Tawny Owl,"male, song"
424390,Strix,aluco,Tawny Owl,"male, song"
506572,Strix,aluco,Tawny Owl,"adult, flight call, male, song"
484024,Strix,aluco,Tawny Owl,"male, song"
172955,Strix,aluco,Tawny Owl,"call, female, male, song"
310633,Strix,aluco,Tawny Owl,"call, female, male, song, xylofon call"
407162,Strix,aluco,Tawny Owl,"begging call, copulation, female, male, song, soud of wings"
143531,Strix,aluco,Tawny Owl,"male, song"
153076,Strix,aluco,Tawny Owl,"call, male, song"
521230,Strix,aluco,Tawny Owl,"adult, call, female, male, song"
374099,Strix,aluco,Tawny Owl,"male, song"
450883,Strix,aluco,Tawny Owl,"call, female, male, song"
343476,Strix,aluco,Tawny Owl,"call, female, male, song"
310632,Strix,aluco,Tawny Owl,"call, female, male, song, xylofon call"
506571,Strix,aluco,Tawny Owl,"adult, male, song"
419877,Strix,aluco,Tawny Owl,"alarm call, begging call, call, female, flight call, juvenile, male, song, vario"
310636,Strix,aluco,Tawny Owl,"male, song"
233619,Strix,aluco,Tawny Owl,"call, female, male, song"
529064,Strix,aluco,Tawny Owl,"call, female, male, song"
298881,Strix,aluco,Tawny Owl,"male, song"
431819,Strix,aluco,Tawny Owl,"female, male, song"
177463,Strix,aluco,Tawny Owl,"male, song"
496710,Strix,aluco,Tawny Owl,"alarm call, call, female, male, song"
508661,Strix,aluco,Tawny Owl,"adult, female, male, song"
171446,Strix,aluco,Tawny Owl,"call, female, male, song"
342461,Strix,aluco,Tawny Owl,"male, song"
324439,Strix,aluco,Tawny Owl,"male, song"
529885,Strix,aluco,Tawny Owl,"female, male, song"
310641,Strix,aluco,Tawny Owl,"call, female, male, song"
411114,Strix,aluco,Tawny Owl,"call, female, male, song"
438365,Strix,aluco,Tawny Owl,"male, song"
176563,Strix,aluco,Tawny Owl,"male, song"
510994,Strix,aluco,Tawny Owl,"female, song"
367368,Phylloscopus,collybita,Common Chiffchaff,"male, song"
132806,Phylloscopus,collybita,Common Chiffchaff,"male, song"
153845,Phylloscopus,collybita,Common Chiffchaff,"male, song"
140670,Phylloscopus,collybita,Common Chiffchaff,"male, song"
134098,Phylloscopus,collybita,Common Chiffchaff,"male, song"
194402,Phylloscopus,collybita,Common Chiffchaff,"male, song"
301636,Phylloscopus,collybita,Common Chiffchaff,"male, song"
153837,Phylloscopus,collybita,Common Chiffchaff,"male, song"
244648,Phylloscopus,collybita,Common Chiffchaff,"male, song"
199182,Phylloscopus,collybita,Common Chiffchaff,"male, song"
413876,Phylloscopus,collybita,Common Chiffchaff,"male, song"
522064,Phylloscopus,collybita,Common Chiffchaff,"male, song"
121967,Phylloscopus,collybita,Common Chiffchaff,"male, song"
134605,Phylloscopus,collybita,Common Chiffchaff,"male, song"
177714,Phylloscopus,collybita,Common Chiffchaff,"male, song"
478019,Phylloscopus,collybita,Common Chiffchaff,"male, song"
153836,Phylloscopus,collybita,Common Chiffchaff,"male, song"
131387,Phylloscopus,collybita,Common Chiffchaff,"male, song"
153846,Phylloscopus,collybita,Common Chiffchaff,"male, song"
244647,Phylloscopus,collybita,Common Chiffchaff,"male, song"
121961,Phylloscopus,collybita,Common Chiffchaff,"male, song"
